"Site","File","RelativePath","Date","Time","Animal","Murrelet","Adult","Offspring","Egg","Species","Count","PredationEvent","SecondOpinion","Comments"
"Refuge","RCNX0826.JPG","2_10_21 to 4_1_21","2021-02-16","06:10:00","true","true",1,0,"false",NA,0,"false","false",NA
"Refuge","RCNX1341.JPG","2_10_21 to 4_1_21","2021-02-19","20:00:00","true","false",0,0,"false","Mouse",1,"false","true",NA
"Refuge","RCNX1361.JPG","2_10_21 to 4_1_21","2021-02-19","23:20:00","true","true",1,0,"false",NA,0,"false","false",NA
"Refuge","RCNX1433.JPG","2_10_21 to 4_1_21","2021-02-20","11:20:00","true","true",1,0,"false",NA,0,"false","false",NA
"Refuge","RCNX1794.JPG","2_10_21 to 4_1_21","2021-02-22","23:30:00","true","false",0,0,"false","Raven",1,"false","false",NA
"Refuge","RCNX1916.JPG","2_10_21 to 4_1_21","2021-02-23","19:50:00","true","true",1,0,"false",NA,0,"false","true",NA
"Refuge","RCNX2653.JPG","2_10_21 to 4_1_21","2021-02-28","22:40:00","true","true",1,0,"false",NA,0,"false","false",NA
"Refuge","RCNX2708.JPG","2_10_21 to 4_1_21","2021-03-01","07:50:00","true","false",0,0,"false","Unknown",1,"false","false","belted kingfisher"
"Refuge","RCNX2709.JPG","2_10_21 to 4_1_21","2021-03-01","08:00:00","true","false",0,0,"false","Unknown",1,"false","false","belted kingfisher"
"Refuge","RCNX2710.JPG","2_10_21 to 4_1_21","2021-03-01","08:10:00","true","false",0,0,"false","Unknown",1,"false","false","belted kingfisher"
"Refuge","RCNX2711.JPG","2_10_21 to 4_1_21","2021-03-01","08:20:00","true","false",0,0,"false","Unknown",1,"false","false","belted kingfisher"
"Refuge","RCNX2712.JPG","2_10_21 to 4_1_21","2021-03-01","08:30:00","true","false",0,0,"false","Unknown",1,"false","false","belted kingfisher"
"Refuge","RCNX2713.JPG","2_10_21 to 4_1_21","2021-03-01","08:40:00","true","false",0,0,"false","Unknown",1,"false","false","belted kingfisher"
"Refuge","RCNX2714.JPG","2_10_21 to 4_1_21","2021-03-01","08:50:00","true","false",0,0,"false","Unknown",1,"false","false","belted kingfisher"
"Refuge","RCNX2715.JPG","2_10_21 to 4_1_21","2021-03-01","09:00:00","true","false",0,0,"false","Unknown",1,"false","false","belted kingfisher"
"Refuge","RCNX2716.JPG","2_10_21 to 4_1_21","2021-03-01","09:10:00","true","false",0,0,"false","Unknown",1,"false","false","belted kingfisher"
"Refuge","RCNX2717.JPG","2_10_21 to 4_1_21","2021-03-01","09:20:00","true","false",0,0,"false","Unknown",1,"false","false","belted kingfisher"
"Refuge","RCNX2718.JPG","2_10_21 to 4_1_21","2021-03-01","09:30:00","true","false",0,0,"false","Unknown",1,"false","false","belted kingfisher"
"Refuge","RCNX2719.JPG","2_10_21 to 4_1_21","2021-03-01","09:40:00","true","false",0,0,"false","Unknown",1,"false","false","belted kingfisher"
"Refuge","RCNX3007.JPG","2_10_21 to 4_1_21","2021-03-03","09:40:00","true","true",1,0,"false",NA,0,"false","false",NA
"Refuge","RCNX3072.JPG","2_10_21 to 4_1_21","2021-03-03","20:30:00","true","true",2,0,"false",NA,0,"false","false",NA
"Refuge","RCNX3074.JPG","2_10_21 to 4_1_21","2021-03-03","20:50:00","true","true",1,0,"false",NA,0,"false","false",NA
"Refuge","RCNX3075.JPG","2_10_21 to 4_1_21","2021-03-03","21:00:00","true","true",1,0,"false",NA,0,"false","false",NA
"Refuge","RCNX3076.JPG","2_10_21 to 4_1_21","2021-03-03","21:10:00","true","true",1,0,"false",NA,0,"false","false",NA
"Refuge","RCNX3077.JPG","2_10_21 to 4_1_21","2021-03-03","21:20:00","true","true",1,0,"false",NA,0,"false","false",NA
"Refuge","RCNX3078.JPG","2_10_21 to 4_1_21","2021-03-03","21:30:00","true","true",1,0,"false",NA,0,"false","false",NA
"Refuge","RCNX3079.JPG","2_10_21 to 4_1_21","2021-03-03","21:40:00","true","true",1,0,"false",NA,0,"false","false",NA
"Refuge","RCNX3080.JPG","2_10_21 to 4_1_21","2021-03-03","21:50:00","true","true",1,0,"false",NA,0,"false","false",NA
"Refuge","RCNX3100.JPG","2_10_21 to 4_1_21","2021-03-04","01:10:00","true","true",2,0,"false",NA,0,"false","false",NA
"Refuge","RCNX3508.JPG","2_10_21 to 4_1_21","2021-03-06","21:06:58","true","true",1,0,"false",NA,0,"false","false",NA
"Refuge","RCNX3509.JPG","2_10_21 to 4_1_21","2021-03-06","21:06:58","true","true",1,0,"false",NA,0,"false","false",NA
"Refuge","RCNX3510.JPG","2_10_21 to 4_1_21","2021-03-06","21:06:59","true","true",1,0,"false",NA,0,"false","false",NA
"Refuge","RCNX3511.JPG","2_10_21 to 4_1_21","2021-03-06","21:07:00","true","true",1,0,"false",NA,0,"false","false",NA
"Refuge","RCNX3512.JPG","2_10_21 to 4_1_21","2021-03-06","21:07:00","true","true",1,0,"false",NA,0,"false","false",NA
"Refuge","RCNX4222.JPG","2_10_21 to 4_1_21","2021-03-11","19:20:00","true","true",2,0,"false",NA,0,"false","false",NA
"Refuge","RCNX5543.JPG","2_10_21 to 4_1_21","2021-03-21","00:30:00","true","true",2,0,"false",NA,0,"false","false",NA
"Refuge","RCNX6400.JPG","2_10_21 to 4_1_21","2021-03-26","23:20:00","true","true",1,0,"false",NA,0,"false","false",NA
"Refuge","RCNX6707.JPG","2_10_21 to 4_1_21","2021-03-29","02:30:00","true","false",0,0,"false","Mouse",1,"false","true","might just be dust"
"Refuge","RCNX6847.JPG","2_10_21 to 4_1_21","2021-03-30","01:50:00","true","true",1,0,"false",NA,0,"false","false",NA
"Refuge","RCNX0636.JPG","4_1_21 to 4_14_21","2021-04-05","23:20:00","true","true",1,0,"false",NA,0,"false","false",NA
"Refuge","RCNX0804.JPG","4_1_21 to 4_14_21","2021-04-07","03:20:00","true","false",0,0,"false","Mouse",1,"false","false",NA
"Refuge","RCNX1085.JPG","4_1_21 to 4_14_21","2021-04-09","02:10:00","true","true",1,0,"false",NA,0,"false","false",NA
"Refuge","RCNX1086.JPG","4_1_21 to 4_14_21","2021-04-09","02:20:00","true","true",1,0,"false",NA,0,"false","false",NA
"Refuge","RCNX1771.JPG","4_1_21 to 4_14_21","2021-04-13","20:30:00","true","true",1,0,"false",NA,0,"false","false",NA
"Refuge","RCNX0047.JPG","4_14_21 to 4_28_21\100RECNX","2021-04-14","20:20:00","true","true",1,0,"false",NA,0,"false","false",NA
"Refuge","RCNX0346.JPG","4_14_21 to 4_28_21\100RECNX","2021-04-16","22:10:00","true","true",1,0,"false",NA,0,"false","false",NA
"Refuge","RCNX1872.JPG","4_14_21 to 4_28_21\100RECNX","2021-04-27","12:27:04","true","false",0,0,"false","Other",1,"false","true","glacous-winged gull; not sure if predation event"
"Refuge","RCNX1873.JPG","4_14_21 to 4_28_21\100RECNX","2021-04-27","12:27:05","true","false",0,0,"false","Other",1,"false","true","glacous-winged gull; not sure if predation event"
"Refuge","RCNX1874.JPG","4_14_21 to 4_28_21\100RECNX","2021-04-27","12:27:05","true","false",0,0,"false","Other",1,"false","true","glacous-winged gull; not sure if predation event"
"Refuge","RCNX1875.JPG","4_14_21 to 4_28_21\100RECNX","2021-04-27","12:27:06","true","false",0,0,"false","Other",1,"false","true","glacous-winged gull; not sure if predation event"
"Refuge","RCNX1876.JPG","4_14_21 to 4_28_21\100RECNX","2021-04-27","12:27:07","true","false",0,0,"false","Other",1,"false","true","glacous-winged gull; not sure if predation event"
"Refuge","RCNX1978.JPG","4_14_21 to 4_28_21\100RECNX","2021-04-28","05:20:00","true","false",0,0,"false","Mouse",1,"false","false",NA
