year;site;unit_type;unit_id;date_deployed;recording_start;date_retrieved;recording_stop
2021;Lava1;Reconyx;cam_01;2/10/2021;12:20;4/1/2021;12:20
2021;Lava1;Reconyx;cam_01;4/1/2021;12:50;4/14/2021;11:40
2021;Lava1;Reconyx;cam_01;4/14/2021;12:10;4/28/2021;11:50
2021;Lava1;Reconyx;cam_01;4/28/2021;13:00;7/7/2021;11:00
2021;Lava2;Reconyx;cam_02;2/10/2021;12:00;4/1/2021;11:50
2021;Lava2;Reconyx;cam_02;4/1/2021;12:20;4/14/2021;11:10
2021;Lava2;Reconyx;cam_02;4/14/2021;11:40;4/28/2021;11:30
2021;Moss;Reconyx;cam_03;2/10/2021;10:20;4/1/2021;9:50
2021;Moss;Reconyx;cam_03;4/1/2021;10:30;4/14/2021;9:30
2021;Moss;Reconyx;cam_03;4/14/2021;10:00;4/28/2021;9:30
2021;Moss;Reconyx;cam_03;4/28/2021;10:10;6/2/2021;10:10
2021;Moss;Reconyx;cam_03;6/2/2021;10:40;7/7/2021;13:30
2021;Moss;Reconyx;cam_04;2/10/2021;10:30;4/1/2021;10:00
2021;Moss;Reconyx;cam_04;4/1/2021;10:30;4/14/2021;9:40
2021;Moss;Reconyx;cam_04;4/14/2021;10:00;4/28/2021;9:30
2021;Moss;Reconyx;cam_04;4/28/2021;10:10;6/2/2021;10:20
2021;Moss;Reconyx;cam_04;6/2/2021;10:40;7/7/2021;13:40
2021;Pinnacle;Reconyx;cam_05;2/10/2021;11:00;4/1/2021;10:30
2021;Pinnacle;Reconyx;cam_05;4/1/2021;11:20;4/14/2021;10:00
2021;Pinnacle;Reconyx;cam_05;4/14/2021;10:30;4/28/2021;10:00
2021;Pinnacle;Reconyx;cam_05;4/28/2021;10:40;6/2/2021;10:40
2021;Pinnacle;Reconyx;cam_05;6/2/2021;11:40;6/23/2021;12:30
2021;Pinnacle;Reconyx;cam_05;6/23/2021;12:50;7/7/2021;13:10
2021;Pinnacle;Reconyx;cam_06;2/10/2021;11:00;4/1/2021;10:40
2021;Pinnacle;Reconyx;cam_06;4/1/2021;11:20;4/14/2021;10:00
2021;Pinnacle;Reconyx;cam_06;4/14/2021;10:30;4/28/2021;10:00
2021;Pinnacle;Reconyx;cam_06;4/28/2021;10:40;6/2/2021;11:00
2021;Pinnacle;Reconyx;cam_06;6/2/2021;11:30;6/23/2021;12:40
2021;Pinnacle;Reconyx;cam_06;6/23/2021;12:50;7/7/2021;13:10
2021;Refuge;Reconyx;cam_07;2/10/2021;12:40;4/1/2021;13:00
2021;Refuge;Reconyx;cam_07;4/1/2021;13:30;4/14/2021;12:10
2021;Refuge;Reconyx;cam_07;4/14/2021;12:40;4/28/2021;13:00
2021;Refuge;Reconyx;cam_07;4/28/2021;13:50;6/22/2021;21:50
2021;Refuge;Reconyx;cam_07;7/5/2021;11:20;7/7/2021;10:20
2021;Aerie;AudioMoth;NA;2/10/2021;NA;3/23/2021;NA
2021;Keyhole;AudioMoth;NA;2/10/2021;NA;3/22/2021;NA
2021;Lava1;SM4;NA;2/10/2021;NA;5/23/2021;NA
2021;Lava1;AudioMoth;NA;2/10/2021;NA;3/22/2021;NA
2021;Lava2;SM4;NA;2/10/2021;NA;5/22/2021;NA
2021;Lonely;AudioMoth;NA;2/10/2021;NA;3/24/2021;NA
2021;Moss;SM4;NA;2/10/2021;NA;7/7/2021;NA
2021;Pinnacle;SM4;NA;2/10/2021;NA;7/7/2021;NA
2021;Pinnacle;AudioMoth;NA;2/10/2021;NA;3/23/2021;NA
2021;Refuge;SM4;NA;2/9/2021;NA;7/6/2021;NA
2021;Respiring;AudioMoth;NA;2/10/2021;NA;3/23/2021;NA
